tconst,primaryTitle,startYear,runtimeMinutes,poster_path,averageRating,numVotes,W_Note,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,War,Western
tt0033729,How Green Was My Valley,1941,118,/8N7OmxBqjRVUrqergUduGgr6exy.jpg,7.7,26804,7.362188248,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0033870,The Maltese Falcon,1941,100,/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg,7.9,167438,7.783079226,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
tt0034240,Sullivan's Travels,1941,90,/z5cqIM0ysVjkCmaDfyTQnlozdIp.jpg,7.9,28694,7.480958766,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0034248,Suspicion,1941,99,/76zZNcz3pR2EEUwAKLO1MTHkVDa.jpg,7.3,42822,7.189416414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
tt0034492,Bambi,1942,69,/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,7.3,155166,7.258371724,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0034583,Casablanca,1942,102,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,8.5,610065,8.440950926,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt0034587,Cat People,1942,73,/zSNTDd5Q6No5BmY39Zp5BVgl8XE.jpg,7.2,26226,7.102393316,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
tt0035279,Saboteur,1942,109,/iDKOOTymUZg0WAWPcbdP6nPZEFF.jpg,7.1,28160,7.05297216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
tt0035423,Kate & Leopold,2001,118,/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg,6.4,89452,6.531059309,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0035446,To Be or Not to Be,1942,99,/dDQRpEoyjHT4fzw9cNklIvZuXYg.jpg,8.1,43605,7.699154581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
tt0036775,Double Indemnity,1944,107,/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg,8.3,168646,8.132167977,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
tt0037008,Laura,1944,88,/j0zEiFFrdbZnMXqD3piOtZBJeNB.jpg,7.9,52034,7.607921178,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tt0037059,Meet Me in St. Louis,1944,113,/ekVeUvG81pidsv2LMtWf5yYcNbq.jpg,7.5,27849,7.263477076,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0037884,The Lost Weekend,1945,101,/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg,7.9,40517,7.556577682,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
