tconst;category;primaryName;primaryTitle;startYear;poster_path;averageRating;numVotes;W_Note;count
tt0035423;actor;Hugh Jackman;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;22.0
tt0035423;actor;Liev Schreiber;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;15.0
tt0035423;actor;Breckin Meyer;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;5.0
tt0035423;actress;Natasha Lyonne;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;3.0
tt0035423;actor;Bradley Whitford;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;12.0
tt0035423;actor;Spalding Gray;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;3.0
tt0035423;director;James Mangold;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;11.0
tt0035423;producer;Cathy Konrad;Kate & Leopold;2001;/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg;6.4;89452;6.531059308705833;9.0
tt0036775;actor;Fred MacMurray;Double Indemnity;1944;/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg;8.3;168646;8.132167976617126;3.0
tt0036775;director;Billy Wilder;Double Indemnity;1944;/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg;8.3;168646;8.132167976617126;14.0
tt0037059;producer;Arthur Freed;Meet Me in St. Louis;1944;/ekVeUvG81pidsv2LMtWf5yYcNbq.jpg;7.5;27849;7.2634770761982255;3.0
tt0037884;actor;Ray Milland;The Lost Weekend;1945;/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg;7.9;40517;7.556577682128302;3.0
tt0037884;actor;Frank Faylen;The Lost Weekend;1945;/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg;7.9;40517;7.556577682128302;3.0
tt0037884;director;Billy Wilder;The Lost Weekend;1945;/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg;7.9;40517;7.556577682128302;14.0
tt0037884;producer;Charles Brackett;The Lost Weekend;1945;/8ggIOoCzt8xT2ePl8DdlRtXgcOh.jpg;7.9;40517;7.556577682128302;3.0
tt0037913;actress;Lee Patrick;Mildred Pierce;1945;/iSXi0xvPUPwEI2xxWZrcKJXpUYc.jpg;7.9;28955;7.482985821517931;3.0
tt0037913;director;Michael Curtiz;Mildred Pierce;1945;/iSXi0xvPUPwEI2xxWZrcKJXpUYc.jpg;7.9;28955;7.482985821517931;3.0
tt0038109;actress;Ingrid Bergman;Spellbound;1945;/dPAox7jGScLBvxKLeRptJIBF7v.jpg;7.5;52607;7.338932055098122;4.0
tt0038109;actor;Gregory Peck;Spellbound;1945;/dPAox7jGScLBvxKLeRptJIBF7v.jpg;7.5;52607;7.338932055098122;7.0
tt0038109;actor;Leo G. Carroll;Spellbound;1945;/dPAox7jGScLBvxKLeRptJIBF7v.jpg;7.5;52607;7.338932055098122;3.0
tt0038109;actor;Norman Lloyd;Spellbound;1945;/dPAox7jGScLBvxKLeRptJIBF7v.jpg;7.5;52607;7.338932055098122;3.0
tt0038109;director;Alfred Hitchcock;Spellbound;1945;/dPAox7jGScLBvxKLeRptJIBF7v.jpg;7.5;52607;7.338932055098122;17.0
tt0038355;actor;Humphrey Bogart;The Big Sleep;1946;/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg;7.9;90954;7.705957534884523;7.0
tt0038355;actress;Lauren Bacall;The Big Sleep;1946;/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg;7.9;90954;7.705957534884523;4.0
tt0038355;director;Howard Hawks;The Big Sleep;1946;/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg;7.9;90954;7.705957534884523;5.0
tt0038650;actor;James Stewart;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;7.0
tt0038650;actor;Frank Faylen;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;3.0
tt0038650;actor;Ward Bond;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;3.0
tt0038650;actor;H.B. Warner;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;3.0
tt0038650;director;Frank Capra;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;5.0
tt0038650;producer;Frank Capra;It's a Wonderful Life;1946;/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg;8.6;502489;8.524169034804515;5.0
tt0038787;actor;Cary Grant;Notorious;1946;/yUjKnpColooH88BFQJwwgNOQ56N.jpg;7.9;107946;7.73075835301551;5.0
tt0038787;actress;Ingrid Bergman;Notorious;1946;/yUjKnpColooH88BFQJwwgNOQ56N.jpg;7.9;107946;7.73075835301551;4.0
tt0038787;actor;Claude Rains;Notorious;1946;/yUjKnpColooH88BFQJwwgNOQ56N.jpg;7.9;107946;7.73075835301551;4.0
tt0038787;director;Alfred Hitchcock;Notorious;1946;/yUjKnpColooH88BFQJwwgNOQ56N.jpg;7.9;107946;7.73075835301551;17.0
tt0040724;actor;John Wayne;Red River;1948;/jyNTsAzrIWB441OtvfbgKtx1kFS.jpg;7.8;34738;7.46520472730925;4.0
tt0040724;actor;Montgomery Clift;Red River;1948;/jyNTsAzrIWB441OtvfbgKtx1kFS.jpg;7.8;34738;7.46520472730925;3.0
tt0040724;actor;Harry Carey Jr.;Red River;1948;/jyNTsAzrIWB441OtvfbgKtx1kFS.jpg;7.8;34738;7.46520472730925;3.0
tt0040724;director;Howard Hawks;Red River;1948;/jyNTsAzrIWB441OtvfbgKtx1kFS.jpg;7.8;34738;7.46520472730925;5.0
